account_code,account_name,level,parent_code,statement_type,category,postable
5101040118.001,เงินบำนาญตกทอด,6,5101040100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5101040119.001,เงินชดเชยกรณีเลิกจ้าง,6,5101040100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5101040120.001,บำเหน็จรายเดือนสำหรับการเบิกเงินบำเหน็จ,6,5101040100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5101040199.999,บำเหน็จบำนาญอื่น,6,5101040100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5101040200.000,เงินช่วยเหลือด้านการศึกษาและรักษาพยาบาล -,5,5101040000.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,0
5101040202.001,เงินช่วยการศึกษาบตุ รผู้รับบำนาญ,6,5101040200.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5101040203.001,เงินช่วยเหลือบุตรผู้รับบำนาญ,6,5101040200.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5101040204.001,เงินช่วยค่ารักษาพยาบาลประเภทผู้ป่วยนอก -,6,5101040200.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5101040205.001,เงินช่วยค่ารักษาพยาบาลประเภทผู้ป่วยใน -,6,5101040200.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5101040206.001,เงินช่วยค่ารักษาพยาบาลประเภทผู้ป่วยนอก -,6,5101040200.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5101040207.001,เงินช่วยค่ารักษาพยาบาลประเภทผู้ป่วยใน -,6,5101040200.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5102000000.000,ค่าใช้จ่ายด้านการฝึกอบรม,3,5100000000.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,0
5102010000.000,ค่าใช้จ่ายด้านการฝึกอบรม ภายในประเทศ,4,5102000000.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,0
5102010106.001,ค่าใช้จ่ายทุนการศึกษา - ในประเทศ,6,5102010100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5102010199.001,ค่าใช้จ่ายด้านการฝึกอบรม- ในประเทศ,6,5102010100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5102020000.000,ค่าใช้จ่ายด้านการฝึกอบรม ต่างประเทศ,4,5102000000.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,0
5102020199.001,ค่าใช้จ่ายด้านการฝึกอบรม,6,5102020100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5102030000.000,ค่าใช้จ่ายด้านการฝึกอบรม บุคคลภายนอก,4,5102000000.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,0
5102030199.001,ค่าใช้จ่ายด้านการฝึกอบรม- บุคคลภายนอก,6,5102030100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5103000000.000,ค่าใช้จ่ายเดินทาง,3,5100000000.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,0
5103010000.000,ค่าใช้จ่ายเดินทาง ในประเทศ,4,5103000000.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,0
5103010102.001,ค่าเบี้ยเลี้ยง,6,5103010100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
5103010103.001,ค่าที่พัก,6,5103010100.000,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,1
