ตำบล,เทศบาล,ปีงบประมาณ,ประเภทงบ,หมวดหมู่,รายการบัญชี,หมายเหตุ,มูลค่า,หน่วย,ระดับรายละเอียด,หมายเหตุคุณภาพข้อมูล,ไฟล์ต้นฉบับ
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,สินทรัพย์ถาวรเพิ่มระหว่างปี,สินทรัพย์ถาวร,รวมสินทรัพย์เพิ่มขึ้นทั้งหมด,,8875168.5,บาท,total,สินทรัพย์เพิ่มระหว่างปี (จากหมายเหตุประกอบงบ),สินทรัพย์ถาวร.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,สินทรัพย์ถาวรเพิ่มระหว่างปี,สินทรัพย์ถาวร,งบลงทุนที่ประกาศไว้ (investment_budget_baht),,8242800.0,บาท,reference,สินทรัพย์เพิ่มระหว่างปี (จากหมายเหตุประกอบงบ),สินทรัพย์ถาวร.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2566,สินทรัพย์ถาวรเพิ่มระหว่างปี,ตัวชี้วัด,อัตราสินทรัพย์ที่เพิ่มขึ้นจริง / งบลงทุนที่ตั้งไว้,,107.7,ร้อยละ,indicator,สินทรัพย์เพิ่มจริง/งบลงทุนที่ตั้งไว้,สินทรัพย์ถาวร.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2567,งบแสดงฐานะการเงิน,สินทรัพย์หมุนเวียน,เงินสดและรายการเทียบเท่าเงินสด,,23635934.38,บาท,line_item,ข้อมูลยอดรวม (ไม่มีรายการย่อย),งบดุล.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2567,งบแสดงฐานะการเงิน,สินทรัพย์หมุนเวียน,สินทรัพย์หมุนเวียนรวม,,38050528.04,บาท,subtotal,ข้อมูลยอดรวม (ไม่มีรายการย่อย),งบดุล.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2567,งบแสดงฐานะการเงิน,สินทรัพย์ไม่หมุนเวียน,สินทรัพย์ไม่หมุนเวียนรวม,,63560585.97,บาท,subtotal,ข้อมูลยอดรวม (ไม่มีรายการย่อย),งบดุล.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2567,งบแสดงฐานะการเงิน,หนี้สินหมุนเวียน,หนี้สินหมุนเวียนรวม,,2068733.4,บาท,subtotal,ข้อมูลยอดรวม (ไม่มีรายการย่อย),งบดุล.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2567,งบแสดงฐานะการเงิน,หนี้สินไม่หมุนเวียน,หนี้สินไม่หมุนเวียนรวม,,4237749.92,บาท,subtotal,ข้อมูลยอดรวม (ไม่มีรายการย่อย),งบดุล.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2567,งบแสดงฐานะการเงิน,หนี้สินรวม,หนี้สินรวม,,6306483.32,บาท,total,ข้อมูลยอดรวม (ไม่มีรายการย่อย),งบดุล.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2567,งบแสดงฐานะการเงิน,สินทรัพย์สุทธิ_ส่วนทุน,ทุนสะสม,,95304630.69,บาท,subtotal,ข้อมูลยอดรวม (ไม่มีรายการย่อย),งบดุล.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2567,งบแสดงฐานะการเงิน,สินทรัพย์รวม,สินทรัพย์รวม (คำนวณ = หมุนเวียน + ไม่หมุนเวียน),,101611114.01,บาท,total,ปิงโค้งเป็นข้อมูลยอดรวม ไม่มีรายการย่อย; total_assets 2567 ต้นฉบับพิมพ์ผิด แก้เป็นผลรวมจริงแล้ว,งบดุล.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2567,งบประมาณตามหมวด,โครงสร้างงบประมาณ,งบกลาง (central_budget),,20450973.0,บาท,line_item,โครงสร้างงบประมาณตามหมวด (เฉพาะปิงโค้ง),งบตามหมวด.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2567,งบประมาณตามหมวด,โครงสร้างงบประมาณ,งบบุคลากร (personnel_budget),,23809176.0,บาท,line_item,โครงสร้างงบประมาณตามหมวด (เฉพาะปิงโค้ง),งบตามหมวด.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2567,งบประมาณตามหมวด,โครงสร้างงบประมาณ,งบดำเนินงาน (operating_budget),,17543351.0,บาท,line_item,โครงสร้างงบประมาณตามหมวด (เฉพาะปิงโค้ง),งบตามหมวด.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2567,งบประมาณตามหมวด,โครงสร้างงบประมาณ,งบลงทุน (investment_budget),,7704700.0,บาท,line_item,โครงสร้างงบประมาณตามหมวด (เฉพาะปิงโค้ง),งบตามหมวด.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2567,งบประมาณตามหมวด,โครงสร้างงบประมาณ,งบเงินอุดหนุน (subsidies_budget),,6491800.0,บาท,line_item,โครงสร้างงบประมาณตามหมวด (เฉพาะปิงโค้ง),งบตามหมวด.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2567,งบประมาณตามหมวด,งบประมาณรวม,งบประมาณรวม (total_budget_baht),,76000000.0,บาท,total,โครงสร้างงบประมาณตามหมวด (เฉพาะปิงโค้ง),งบตามหมวด.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2567,งบประมาณตามหมวด,สัดส่วน,สัดส่วน งบกลาง (central_budget) / งบรวม,,26.9,ร้อยละ,indicator,สัดส่วน % ของงบรวม,งบตามหมวด.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2567,งบประมาณตามหมวด,สัดส่วน,สัดส่วน งบบุคลากร (personnel_budget) / งบรวม,,31.3,ร้อยละ,indicator,สัดส่วน % ของงบรวม,งบตามหมวด.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2567,งบประมาณตามหมวด,สัดส่วน,สัดส่วน งบดำเนินงาน (operating_budget) / งบรวม,,23.1,ร้อยละ,indicator,สัดส่วน % ของงบรวม,งบตามหมวด.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2567,งบประมาณตามหมวด,สัดส่วน,สัดส่วน งบลงทุน (investment_budget) / งบรวม,,10.1,ร้อยละ,indicator,สัดส่วน % ของงบรวม,งบตามหมวด.csv
ปิงโค้ง,เทศบาลตำบลปิงโค้ง,2567,งบประมาณตามหมวด,สัดส่วน,สัดส่วน งบเงินอุดหนุน (subsidies_budget) / งบรวม,,8.5,ร้อยละ,indicator,สัดส่วน % ของงบรวม,งบตามหมวด.csv
