ตำบล,เทศบาล,ปีงบประมาณ,ประเภทงบ,หมวดหมู่,รายการบัญชี,หมายเหตุ,มูลค่า,หน่วย,ระดับรายละเอียด,หมายเหตุคุณภาพข้อมูล,ไฟล์ต้นฉบับ
โยนก,เทศบาลตำบลโยนก,2567,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,ค่าเสื่อมราคาและค่าตัดจำหน่าย,34,4934450.73,บาท,line_item,,financial_report_yonok_2567.csv
โยนก,เทศบาลตำบลโยนก,2567,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,ค่าใช้จ่ายจากการอุดหนุนจากหน่วยงานภาครัฐ,35,2882112.47,บาท,line_item,,financial_report_yonok_2567.csv
โยนก,เทศบาลตำบลโยนก,2567,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,ค่าใช้จ่ายจากการอุดหนุนอื่นและบริจาค,36,10665238.74,บาท,line_item,,financial_report_yonok_2567.csv
โยนก,เทศบาลตำบลโยนก,2567,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,ค่าใช้จ่ายอื่น,37,172885.94,บาท,line_item,,financial_report_yonok_2567.csv
โยนก,เทศบาลตำบลโยนก,2567,งบแสดงผลการดำเนินงาน,ค่าใช้จ่ายรวม,รวมค่าใช้จ่าย,,38347827.06,บาท,total,,financial_report_yonok_2567.csv
โยนก,เทศบาลตำบลโยนก,2567,งบแสดงผลการดำเนินงาน,สรุปผล,รายได้สูง/(ต่ำ) กว่าค่าใช้จ่ายสุทธิ,,3649378.6,บาท,total,,financial_report_yonok_2567.csv
โยนก,เทศบาลตำบลโยนก,2568,งบแสดงฐานะการเงิน,สินทรัพย์หมุนเวียน,เงินสดและรายการเทียบเท่าเงินสด,4,23758100.29,บาท,line_item,,financial_report_yonok_2568.csv
โยนก,เทศบาลตำบลโยนก,2568,งบแสดงฐานะการเงิน,สินทรัพย์หมุนเวียน,ลูกหนี้เงินโอนและรายการอุดหนุนระยะสั้น,5,61792.76,บาท,line_item,,financial_report_yonok_2568.csv
โยนก,เทศบาลตำบลโยนก,2568,งบแสดงฐานะการเงิน,สินทรัพย์หมุนเวียน,ลูกหนี้อื่นระยะสั้น,6,70384.61,บาท,line_item,,financial_report_yonok_2568.csv
โยนก,เทศบาลตำบลโยนก,2568,งบแสดงฐานะการเงิน,สินทรัพย์หมุนเวียน,เงินลงทุนระยะสั้น,7,5578294.7,บาท,line_item,,financial_report_yonok_2568.csv
โยนก,เทศบาลตำบลโยนก,2568,งบแสดงฐานะการเงิน,สินทรัพย์หมุนเวียน,วัสดุคงเหลือ,8,22669.0,บาท,line_item,,financial_report_yonok_2568.csv
โยนก,เทศบาลตำบลโยนก,2568,งบแสดงฐานะการเงิน,สินทรัพย์หมุนเวียน,สินทรัพย์หมุนเวียนอื่น,9,23614.13,บาท,line_item,,financial_report_yonok_2568.csv
โยนก,เทศบาลตำบลโยนก,2568,งบแสดงฐานะการเงิน,สินทรัพย์หมุนเวียน,รวมสินทรัพย์หมุนเวียน,,29514855.49,บาท,subtotal,,financial_report_yonok_2568.csv
โยนก,เทศบาลตำบลโยนก,2568,งบแสดงฐานะการเงิน,สินทรัพย์ไม่หมุนเวียน,เงินลงทุนระยะยาว,10,2939626.56,บาท,line_item,,financial_report_yonok_2568.csv
โยนก,เทศบาลตำบลโยนก,2568,งบแสดงฐานะการเงิน,สินทรัพย์ไม่หมุนเวียน,ที่ดิน อาคาร และอุปกรณ์ - สุทธิ,11,23441021.08,บาท,line_item,,financial_report_yonok_2568.csv
โยนก,เทศบาลตำบลโยนก,2568,งบแสดงฐานะการเงิน,สินทรัพย์ไม่หมุนเวียน,สินทรัพย์โครงสร้างพื้นฐาน - สุทธิ,12,49041622.46,บาท,line_item,,financial_report_yonok_2568.csv
โยนก,เทศบาลตำบลโยนก,2568,งบแสดงฐานะการเงิน,สินทรัพย์ไม่หมุนเวียน,รวมสินทรัพย์ไม่หมุนเวียน,,75422270.1,บาท,subtotal,,financial_report_yonok_2568.csv
โยนก,เทศบาลตำบลโยนก,2568,งบแสดงฐานะการเงิน,สินทรัพย์รวม,รวมสินทรัพย์,,104937125.59,บาท,total,,financial_report_yonok_2568.csv
โยนก,เทศบาลตำบลโยนก,2568,งบแสดงฐานะการเงิน,หนี้สินหมุนเวียน,เจ้าหนี้เงินโอนและรายการอุดหนุนระยะสั้น,13,278400.0,บาท,line_item,,financial_report_yonok_2568.csv
โยนก,เทศบาลตำบลโยนก,2568,งบแสดงฐานะการเงิน,หนี้สินหมุนเวียน,เจ้าหนี้อื่นระยะสั้น,14,26327.56,บาท,line_item,,financial_report_yonok_2568.csv
โยนก,เทศบาลตำบลโยนก,2568,งบแสดงฐานะการเงิน,หนี้สินหมุนเวียน,เงินรับฝากระยะสั้น,15,823992.28,บาท,line_item,,financial_report_yonok_2568.csv
โยนก,เทศบาลตำบลโยนก,2568,งบแสดงฐานะการเงิน,หนี้สินหมุนเวียน,รวมหนี้สินหมุนเวียน,,1128719.84,บาท,subtotal,,financial_report_yonok_2568.csv
โยนก,เทศบาลตำบลโยนก,2568,งบแสดงฐานะการเงิน,หนี้สินไม่หมุนเวียน,เงินรับฝากระยะยาว,16,294958.0,บาท,line_item,,financial_report_yonok_2568.csv
โยนก,เทศบาลตำบลโยนก,2568,งบแสดงฐานะการเงิน,หนี้สินไม่หมุนเวียน,รวมหนี้สินไม่หมุนเวียน,,294958.0,บาท,subtotal,,financial_report_yonok_2568.csv
โยนก,เทศบาลตำบลโยนก,2568,งบแสดงฐานะการเงิน,หนี้สินรวม,รวมหนี้สิน,,1423677.84,บาท,total,,financial_report_yonok_2568.csv
โยนก,เทศบาลตำบลโยนก,2568,งบแสดงฐานะการเงิน,สินทรัพย์สุทธิ_ส่วนทุน,รายได้สูง/(ต่ำ) กว่าค่าใช้จ่ายสะสม,19,103513447.75,บาท,line_item,,financial_report_yonok_2568.csv
โยนก,เทศบาลตำบลโยนก,2568,งบแสดงฐานะการเงิน,สินทรัพย์สุทธิ_ส่วนทุน,รวมสินทรัพย์สุทธิ/ส่วนทุน,,103513447.75,บาท,subtotal,,financial_report_yonok_2568.csv
โยนก,เทศบาลตำบลโยนก,2568,งบแสดงฐานะการเงิน,หนี้สินและส่วนทุนรวม,รวมหนี้สินและสินทรัพย์สุทธิ/ส่วนทุน,,104937125.59,บาท,total,,financial_report_yonok_2568.csv
โยนก,เทศบาลตำบลโยนก,2568,งบแสดงผลการดำเนินงาน,รายได้,รายได้จากงบประมาณ,20,25221500.0,บาท,line_item,,financial_report_yonok_2568.csv
โยนก,เทศบาลตำบลโยนก,2568,งบแสดงผลการดำเนินงาน,รายได้,รายได้ภาษีจัดสรร,21,22115658.44,บาท,line_item,,financial_report_yonok_2568.csv
โยนก,เทศบาลตำบลโยนก,2568,งบแสดงผลการดำเนินงาน,รายได้,รายได้จากการขายสินค้าและบริการ,22,738.0,บาท,line_item,,financial_report_yonok_2568.csv
โยนก,เทศบาลตำบลโยนก,2568,งบแสดงผลการดำเนินงาน,รายได้,รายได้จากการอุดหนุนจากหน่วยงานภาครัฐ,23,1211100.0,บาท,line_item,,financial_report_yonok_2568.csv
โยนก,เทศบาลตำบลโยนก,2568,งบแสดงผลการดำเนินงาน,รายได้,รายได้จากการจัดเก็บภาษี ค่าธรรมเนียม ค่าปรับ และใบอนุญาต,24,1280103.88,บาท,line_item,,financial_report_yonok_2568.csv
โยนก,เทศบาลตำบลโยนก,2568,งบแสดงผลการดำเนินงาน,รายได้,รายได้จากการอุดหนุนอื่นและบริจาค,25,506.65,บาท,line_item,,financial_report_yonok_2568.csv
โยนก,เทศบาลตำบลโยนก,2568,งบแสดงผลการดำเนินงาน,รายได้,รายได้ของกิจการเฉพาะการและหน่วยงานภายใต้สังกัด,26,25863.4,บาท,line_item,,financial_report_yonok_2568.csv
โยนก,เทศบาลตำบลโยนก,2568,งบแสดงผลการดำเนินงาน,รายได้,รายได้อื่น,27,205698.32,บาท,line_item,,financial_report_yonok_2568.csv
โยนก,เทศบาลตำบลโยนก,2568,งบแสดงผลการดำเนินงาน,รายได้รวม,รวมรายได้,,50061168.69,บาท,total,,financial_report_yonok_2568.csv
โยนก,เทศบาลตำบลโยนก,2568,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,ค่าใช้จ่ายบุคลากร,28,13359351.52,บาท,line_item,,financial_report_yonok_2568.csv
โยนก,เทศบาลตำบลโยนก,2568,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,ค่าบำเหน็จบำนาญ,29,344930.4,บาท,line_item,,financial_report_yonok_2568.csv
โยนก,เทศบาลตำบลโยนก,2568,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,ค่าตอบแทน,30,391317.0,บาท,line_item,,financial_report_yonok_2568.csv
โยนก,เทศบาลตำบลโยนก,2568,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,ค่าใช้สอย,31,4789510.85,บาท,line_item,,financial_report_yonok_2568.csv
โยนก,เทศบาลตำบลโยนก,2568,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,ค่าวัสดุ,32,1267893.0,บาท,line_item,,financial_report_yonok_2568.csv
โยนก,เทศบาลตำบลโยนก,2568,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,ค่าสาธารณูปโภค,33,1034897.55,บาท,line_item,,financial_report_yonok_2568.csv
โยนก,เทศบาลตำบลโยนก,2568,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,ค่าเสื่อมราคาและค่าตัดจำหน่าย,34,5341048.87,บาท,line_item,,financial_report_yonok_2568.csv
โยนก,เทศบาลตำบลโยนก,2568,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,ค่าใช้จ่ายจากการอุดหนุนจากหน่วยงานภาครัฐ,35,2693230.53,บาท,line_item,,financial_report_yonok_2568.csv
โยนก,เทศบาลตำบลโยนก,2568,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,ค่าใช้จ่ายจากการอุดหนุนอื่นและบริจาค,36,11276964.51,บาท,line_item,,financial_report_yonok_2568.csv
โยนก,เทศบาลตำบลโยนก,2568,งบแสดงผลการดำเนินงาน,ค่าใช้จ่าย,ค่าใช้จ่ายอื่น,37,123398.41,บาท,line_item,,financial_report_yonok_2568.csv
โยนก,เทศบาลตำบลโยนก,2568,งบแสดงผลการดำเนินงาน,ค่าใช้จ่ายรวม,รวมค่าใช้จ่าย,,40622542.64,บาท,total,,financial_report_yonok_2568.csv
โยนก,เทศบาลตำบลโยนก,2568,งบแสดงผลการดำเนินงาน,สรุปผล,รายได้สูง/(ต่ำ) กว่าค่าใช้จ่ายสุทธิ,,9438626.05,บาท,total,,financial_report_yonok_2568.csv
